12177744 0.121777 -0.470339905 -0.000000089 0.470340 180.000011
36533233 0.365332 -0.470339905 -0.000000349 0.470340 180.000043
60888722 0.608887 -0.470339905 -0.000000609 0.470340 180.000074
85244210 0.852442 -0.470339905 -0.000000788 0.470340 180.000096
109599699 1.095997 -0.470339905 -0.000001048 0.470340 180.000128
133955188 1.339552 -0.470339905 -0.000001308 0.470340 180.000159
158310676 1.583107 -0.470339905 -0.000001487 0.470340 180.000181
182666165 1.826662 -0.470339905 -0.000001748 0.470340 180.000213
207021654 2.070217 -0.470339905 -0.000002009 0.470340 180.000245
231377142 2.313771 -0.470339905 -0.000002188 0.470340 180.000267
